redshift,mu,mu_ERR
0.078,0.25941336989295727,0.36539505709049075
0.088,0.20325207888526586,0.33767659986173093
0.103,0.1159854531236224,0.2765683443407379
0.103,0.14377357696392767,0.30221874833428297
0.152,0.0953107097305248,0.26311529426879826
0.208,-0.015404601968350806,0.2396019122640268
0.214,-0.025264519373771055,0.20323843741171874
0.215,-0.02988477380212351,0.20384199876934653
0.235,0.10245226599777246,0.28632803695165565
0.235,0.05002015915362357,0.24988150887193508
0.236,0.06229513376108464,0.24811810405073365
0.252,0.020225940472583748,0.2223932437925221
0.253,0.10981315716265727,0.277115816709329
0.313,0.09346970143059607,0.2625201272090098
0.314,0.0445695557769441,0.3308260523587802
0.318,0.06970415653674533,0.31397902536817857
0.324,0.07839508622952573,0.2755998086244585
0.345,-0.04460035986492983,0.20965742983935243
0.352,-0.007902949847214957,0.22266511738272404
0.355,0.12913973767785447,0.29971609054053977
0.363,0.15691199285692004,0.32938713313643064
0.363,-0.024807378017355997,0.2007545381961627
0.3779999999999999,0.1038193942537311,0.3149508546969349
0.391,0.08076330585540759,0.2764991215976144
0.3989999999999999,-0.08736814547397276,0.24507171698081254
0.4039999999999999,-0.021368878700952276,0.23082829907872612
0.423,0.2150441437025803,0.3628420462390937
0.442,-0.07478582067652484,0.20393569010319507
0.447,-0.07932330726969716,0.24775894405292426
0.451,0.013215559439314184,0.23828796771653252
0.46,0.013754741049799124,0.2803369527926614
0.461,0.03992349396510564,0.28279322196270806
0.487,0.1359689407178697,0.30236585590535303
0.539,0.1340614715190085,0.28127775528610116
0.5760000000000001,0.04387760467459967,0.27851844622312966
0.596,0.18927633455734538,0.36326924890996026
0.7020000000000001,-0.1463348143353611,0.25342262464609494
0.723,0.18426847932829338,0.32019457568348897
1.028,0.013754934616611036,0.24328776180975245
1.063,0.011108544970356515,0.26248383495478633
0.0,0.0005443658138268917,1.1e-06
